Type,Date,Mood,Title,Distance,Cal,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
Running,2017/8/16 12:53,FALSE,Running,0,--,00:02.3,74,74,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Running,2017/8/16 11:59,FALSE,Running,0,--,00:02.9,93,94,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Badmiton,2017/8/16 11:54,FALSE,Badmiton,0,--,00:02.3,73,79,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Cycling,2017/8/16 2:41,FALSE,Cycling,0,--,00:02.2,67,67,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Ping-pong,2017/8/16 2:21,FALSE,Ping-pong,0,--,00:05.3,73,73,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:59,FALSE,Climbing,0,--,00:03.2,79,80,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:54,FALSE,Climbing,0,--,00:04.5,71,72,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:52,FALSE,Climbing,0,--,00:03.0,73,74,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:49,FALSE,Climbing,0,--,00:03.8,77,77,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:49,FALSE,Climbing,0,--,00:05.7,74,76,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:31,FALSE,Climbing,0,--,01:00.2,70,73,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:30,FALSE,Climbing,0,--,00:02.1,72,73,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Walking,2017/8/16 1:27,FALSE,Walking,0,--,01:12.2,53,56,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
Climbing,2017/8/16 1:27,FALSE,Climbing,0,--,00:03.8,79,79,1,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--
